longitude,latitude
27.58990142,53.91417578
27.58088450,53.93415978
27.59353250,53.93406378
27.58592350,53.93515578
27.58216000,53.93257428
27.58166550,53.93120128
27.59284964,53.90999913
27.58944896,53.90831912
27.58700510,53.91242063
27.68488733,53.94838623
27.68772191,53.95193830
27.68331720,53.94742908
27.43438750,53.91553878
27.55442000,53.92264428
27.42371708,53.92538479
27.42620696,53.89633896
27.55614199,53.92299195
27.59022650,53.90660178
27.59134950,53.90808178
27.59419750,53.91023796
27.55300050,53.92260228
27.55373750,53.92261228
27.55181450,53.92284028
27.55510250,53.92264928
27.55627050,53.91800978
27.55274050,53.92075678
27.55191142,53.92042262
27.55489254,53.91972912
27.55374442,53.91997299
27.55373369,53.92090395
27.60330650,53.91809478
27.58431550,53.90981578
27.58855600,53.91149228
27.58800800,53.91175178
27.59342450,53.90974678
27.59208650,53.90931612
27.59139450,53.90858028
27.59207750,53.90791178
27.59419750,53.91018728
27.59266150,53.90872378
27.58824150,53.90978428
27.58836750,53.91081328
27.58468450,53.91574028
27.58321100,53.91374628
27.58239350,53.91320028
27.58141450,53.91357628
27.58172850,53.91268028
27.58065950,53.91277528
27.57938450,53.91159828
27.59150250,53.91877878
27.58551050,53.91482278
27.58617550,53.91532628
27.58467550,53.91288128
27.58527750,53.91339628
27.58450450,53.90899378
27.58224950,53.91155028
27.58146850,53.91203828
27.58479200,53.90956678
27.58393850,53.91060628
27.58294150,53.91120578
27.58323750,53.91206478
27.58264500,53.91251578
27.58845750,53.90711078
27.58799900,53.90720628
27.58166550,53.90913678
27.58044450,53.90971528
27.58322900,53.90855378
27.58857350,53.91431328
27.58154950,53.91013978
27.58749600,53.91205428
27.58635550,53.91257928
27.58438750,53.91160328
27.58519650,53.91211778
27.58373200,53.91117378
27.58362450,53.91162478
27.58387550,53.91251578
27.58450450,53.91219728
27.58545650,53.91282328
27.59345150,53.91149228
27.59289450,53.91179428
27.59158350,53.91309378
27.59046950,53.91297178
27.59080150,53.91262728
27.59250850,53.91249978
27.59110750,53.91227178
27.59329900,53.91092978
27.59398150,53.91117378
27.59463750,53.91096178
27.59064187,53.91356962
27.58976296,53.91378596
27.59096350,53.91117663
27.59011569,53.91203348
27.58964279,53.91130096
27.58977023,53.91050245
27.58922569,53.90991646
27.58874450,53.90949546
27.59961414,53.91889328
27.60034478,53.91828878
27.60159223,53.91694312
30.407378,53.884214
30.408519,53.885230
30.418857,53.885582
30.417706,53.885216
30.416215,53.884905
30.413554,53.882294
30.413211,53.882883
30.411923,53.885425
30.408286,53.884005
30.292938,53.916273
30.291555,53.916188
30.288538,53.915908
30.285124,53.913272
30.284124,53.912969
30.283356,53.912298
30.281688,53.912504
30.284182,53.916719
30.283469,53.916203
30.284770,53.914364
30.282832,53.917138
30.28954433,53.91909683
30.346249,53.867605
30.344366,53.867671
30.344591,53.866984
30.346361,53.868519
30.346779,53.868943
30.346704,53.871448
30.351543,53.872494
30.352594,53.872139
30.351286,53.871828
30.347659,53.869444
30.347176,53.870579
30.342732,53.872516
30.344020,53.873365
30.338967,53.876806
30.341499,53.875083
30.352018,53.870888
30.348634,53.871439
30.346510,53.873024
30.343854,53.874730
30.341429,53.876448
30.341704,53.872155
30.340192,53.872447
30.341189,53.872459
30.340609,53.872992
30.339622,53.872764
30.216688,55.168553
30.215111,55.167607
30.213588,55.167380
30.214794,55.170200
30.218789,55.169285
30.217084,55.170132
30.219842,55.165796
55.166558,30.222857
30.221000,55.167332
30.222116,55.167663
30.223168,55.167497
30.222717,55.168363
30.223039,55.168984
30.223657,55.168744
30.220235,55.169696
30.221853,55.169423
30.215083,55.166641
23.85294923,53.68700565
27.640405,53.843826
27.649857,53.840053
27.650769,53.840445
27.636589,53.835122
27.636122,53.83475
27.637694,53.83509
27.638853,53.834724
27.640398,53.834872
27.651133,53.837008
27.651681,53.837402
27.651923,53.83789
27.651923,53.838406
27.650306,53.838772
27.649534,53.839102
27.649102,53.842911
27.646749,53.842252
27.647045,53.842677
27.647378,53.843081
27.646372,53.843506
27.646309,53.844244
27.643937,53.843602
27.64426,53.844011
27.644584,53.844414
27.643587,53.844855
27.643497,53.845588
27.641098,53.844946
27.641368,53.845371
27.641601,53.845817
27.641188,53.846476
27.640479,53.847193
27.62757,53.838533
27.641089,53.836886
27.635843,53.846561
27.635179,53.844027
27.634487,53.841445
27.636984,53.846651
27.636301,53.84409
27.635655,53.841556
27.648186,53.84154
27.63667,53.837545
27.637595,53.837901
27.647225,53.839888
27.638242,53.83772
27.644844,53.841014
27.635493,53.83754
27.636239,53.838533
27.640559,53.840451
27.638871,53.837864
27.645141,53.838523
27.644099,53.841323
27.64806,53.840148
27.634783,53.837917
27.636346,53.839371
27.637918,53.839081
27.641584,53.840515
27.639284,53.83865
27.644251,53.840658
27.618694,53.839362
27.635807,53.84052
27.638682,53.840669
27.639544,53.840409
27.632223,53.839378
27.639715,53.841115
27.634083,53.839086
27.633355,53.837938
27.634065,53.837928
27.640757,53.839341
27.643542,53.840414
27.642329,53.839054
27.645922,53.838703
27.650144,53.841099
27.649363,53.842189
27.645895,53.837826
27.641359,53.837859
27.643727,53.836698
27.643865,53.839293
27.644413,53.838331
27.642149,53.83797
27.652344,53.839439
27.651882,53.840749
27.638818,53.847772
27.648235,53.843629
27.645327,53.844984
27.638238,53.847544
27.643922,53.843060
27.642591,53.846294
27.640896,53.844492
27.638271,53.848095
27.608111,53.834919
27.609141,53.834874
27.610901,53.835204
27.611416,53.834634
27.613229,53.835324
27.613991,53.834773
27.614516,53.834786
27.617284,53.835438
27.618132,53.834678
27.618186,53.835735
27.619838,53.835261
