longitude,latitude
27.530285,53.904804
27.551174,53.900809
27.544814,53.90978
27.550354,53.903612
27.550835,53.907147
27.546871,53.902957
27.575574,53.907064
27.484864,53.901249
27.438317,53.931177
27.571527,53.866049
27.581804,53.943152
27.718104,53.949829
27.446431,53.876992
27.586292,53.893961
27.676141,53.887577
27.646477,53.837938
27.542751,53.872786
27.59308,53.938655
27.666696,53.994796
27.600984,53.904856
27.447407,53.904111
27.643125,53.921142
27.656587,53.899979
27.622581,53.93173
27.537995,53.878844
27.54556,53.958082
27.465544,53.860806
27.478676,53.852273
27.660499,53.909668
27.688735,53.870597
27.557927,53.870028
27.720953,53.943429
27.66599,53.947376
27.447959,53.887814
27.551873,53.900176
27.565592,53.872697
27.524426,53.889962
27.546544,53.940332
27.528778,53.90524
27.453719,53.851524
27.537446,53.911059
27.552609,53.900893
27.429098,53.915739
27.51046,53.849612
27.641559,53.940013
27.54008,53.905548
27.428479,53.932512
27.625814,53.955899
27.486605,53.852115
27.54926,53.929345
27.616156,53.930762
27.533603,53.848387
27.474479,53.896904
27.551088,53.892048
27.601889,53.890006
27.612692,53.935942
27.590655,53.951704
27.551412,53.892787
27.670173,53.961505
27.674674,53.909822
27.529243,53.846096
27.5407,53.902868
27.627105,53.857651
27.432317,53.910974
27.550409,53.893885
27.512829,53.891265
27.450183,53.909706
27.527657,53.89593
27.43218,53.921965
27.596325,53.942497
27.61766,53.953027
27.688156,53.946735
27.472894,53.924113
27.464786,53.86017
27.433931,53.934395
27.628706,53.918725
27.628156,53.857157
27.461974,53.916921
27.655597,53.849976
27.571845,53.867859
27.44494,53.918096
27.609369,53.925957
27.67547,53.959275
27.698384,53.864276
27.682189,54.001298
27.679208,54.005576
27.60372,53.961309
27.551288,53.893885
27.55353,53.884644
27.53793,53.889352
27.540696,53.890245
27.654294,53.929228
27.545567,53.899316
27.475626,53.933631
27.438362,53.927427
27.526075,53.848364
27.493193,53.851038
27.420378,53.909669
27.550459,53.904266
27.538519,53.933659
27.488051,53.902127
27.505942,53.912889
27.547628,53.90589
27.663346,53.882898
27.690108,53.856918
27.707388,53.83886
27.900746,53.874411
27.906786,53.876536
27.901947,53.874297
27.906979,53.87744
27.899265,53.8756
27.670002,53.921914
27.416006,53.893977
27.601789,53.88098
27.546342,53.875756
27.55397,53.849405
27.592107,53.909263
27.543207,53.91292
27.487408,53.895467
27.499865,53.885534
27.450369,53.906915
27.588646,53.839166
27.522185,53.882893
27.545448,53.904961
27.542719,53.904177
27.696888,53.844761
27.575097,53.907067
27.550912,53.895223
27.447762,53.876559
27.519448,53.910728
27.452588,53.845934
27.652588,53.903791
27.649784,53.901011
27.592167,53.888138
27.640674,53.836408
27.540384,53.932894
27.556913,53.91044
27.588752,53.890573
27.602972,53.917978
27.539286,53.904193
27.535424,53.907777
27.642728,53.920969
27.462513,53.894949
27.696438,53.951163
27.680121,53.872569
27.589599,53.889344
27.698378,53.927677
27.584862,53.887032
27.653358,53.889036
27.551687,53.923656
27.550362,53.921268
27.463573,53.918373
27.442861,53.883275
27.542451,53.901087
27.594635,53.855354
27.448845,53.901975
27.478212,53.849669
27.454162,53.878324
27.611073,53.927745
27.535177,53.904905
27.544013,53.901922
27.479199,53.860734
27.571665,53.855335
27.571656,53.865555
27.610141,53.926147
27.614425,53.960586
27.615798,53.961754
27.555234,53.884847
27.556103,53.884347
27.539731,53.88926
27.539452,53.888736
27.542974,53.897663
27.543714,53.897543
27.541279,53.894477
27.541129,53.893882
27.474112,53.932788
27.474069,53.936755
27.475796,53.932908
27.475678,53.934235
27.464143,53.939397
27.420346,53.909872
27.422149,53.910301
27.42867,53.914315
27.550094,53.904018
27.484113,53.900801
27.484145,53.901907
27.483931,53.901231
27.477686,53.901174
27.500485,53.90405
27.50011,53.904935
27.499573,53.905877
27.499648,53.903981
27.499348,53.904878
27.498865,53.905763
27.498908,53.903886
27.498511,53.90491
27.498125,53.90345
27.507609,53.904322
27.506643,53.904139
27.505785,53.903633
27.505109,53.903519
27.487074,53.903475
27.486495,53.902748
27.485336,53.903298
27.484467,53.902698
27.484488,53.903482
27.500882,53.9029
27.501707,53.901048
27.501022,53.900997
27.500228,53.90283
27.500335,53.901048
27.499552,53.902736
27.499552,53.901901
27.498715,53.902868
27.498833,53.901895
27.494563,53.902445
27.493393,53.901452
27.494595,53.901061
27.492964,53.901977
27.492063,53.902243
27.486688,53.901908
27.486279,53.901181
27.487469,53.894143
27.484722,53.894213
27.481858,53.894503
27.476043,53.894383
27.477051,53.895085
27.475989,53.895597
27.475753,53.897412
27.475399,53.897532
27.430557,53.906425
27.428383,53.90804
27.498048,53.909198
27.497093,53.908635
27.45824,53.905509
27.505726,53.898188
27.504766,53.8979
27.503848,53.897603
27.502904,53.897246
27.502255,53.897464
27.501708,53.89771
27.501027,53.897887
27.500345,53.897419
27.50284,53.898608
27.502416,53.899487
27.501799,53.899313
27.501145,53.899073
27.501992,53.89673
27.501746,53.896478
27.501188,53.896301
27.500415,53.896661
27.491108,53.901085
27.485593,53.904347
27.490346,53.900485
27.49114,53.900194
27.492685,53.900535
27.492503,53.899751
27.491301,53.899182
27.491376,53.898557
27.492546,53.899151
27.490947,53.897899
27.49217,53.897678
27.493318,53.898057
27.492793,53.89721
27.491923,53.896654
27.486755,53.904816
27.488654,53.903886
27.489308,53.902003
27.48904,53.901257
27.489276,53.900479
27.488568,53.900252
27.487892,53.90022
27.487559,53.901251
27.48728,53.90017
27.486926,53.901061
27.488825,53.899601
27.487763,53.89919
27.487912,53.898685
27.489811,53.89926
27.489586,53.898824
27.489704,53.897844
27.488856,53.897572
27.488717,53.898122
27.487311,53.898034
27.487987,53.897067
27.489532,53.897117
27.490305,53.896833
27.49009,53.896156
27.488867,53.895872
27.487773,53.896485
27.490594,53.895651
27.490766,53.901599
27.496151,53.894838
27.496484,53.896419
27.495475,53.89585
27.494166,53.896349
27.494156,53.896906
27.496076,53.89769
27.495207,53.898543
